t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
0.212,32.111,10.000,0.001,0,3.294
0.412,32.123,10.000,0.001,0,3.283
0.610,32.132,10.000,0.001,0,3.283
0.810,32.140,10.000,0.001,0,3.283
1.010,32.140,10.000,0.001,0,3.283
1.211,32.135,10.000,0.001,0,3.283
1.410,32.130,10.000,0.001,0,3.278
1.611,32.130,10.000,0.001,0,3.283
1.810,32.138,10.000,0.001,0,3.278
2.010,32.161,10.000,0.001,0,3.278
2.209,32.184,10.000,0.001,0,3.278
2.409,32.195,10.000,0.001,0,3.278
2.609,32.204,10.000,0.001,0,3.278
2.808,32.220,10.000,0.001,0,3.273
3.008,32.242,10.000,0.001,0,3.273
3.208,32.256,10.000,0.001,0,3.273
3.408,32.268,10.000,0.001,0,3.273
3.608,32.278,10.000,0.001,0,3.273
3.808,32.280,10.000,0.001,0,3.273
4.008,32.270,10.000,0.001,0,3.273
4.207,32.285,10.000,0.001,0,3.273
4.407,32.305,10.000,0.001,0,3.267
4.608,32.317,10.000,0.001,0,3.267
4.808,32.319,10.000,0.001,0,3.267
5.008,32.329,10.000,0.001,0,3.267
5.206,32.334,10.000,0.001,0,3.267
5.407,32.341,10.000,0.001,0,3.267
5.606,32.340,10.000,0.001,0,3.267
5.806,32.341,10.000,0.001,0,3.267
6.006,32.354,10.000,0.001,0,3.262
6.207,32.368,10.000,0.001,0,3.262
6.407,32.385,10.000,0.001,0,3.262
6.606,32.406,10.000,0.001,0,3.262
6.807,32.413,10.000,0.001,0,3.262
7.006,32.407,10.000,0.001,0,3.262
7.206,32.409,10.000,0.001,0,3.257
7.405,32.393,10.000,0.001,0,3.257
7.607,32.386,10.000,0.001,0,3.257
7.806,32.405,10.000,0.001,0,3.257
8.006,32.435,10.000,0.001,0,3.257
8.205,32.441,10.000,0.001,0,3.257
8.406,32.444,10.000,0.001,0,3.257
8.605,32.452,10.000,0.001,0,3.257
8.805,32.472,10.000,0.001,0,3.252
9.005,32.486,10.000,0.001,0,3.252
9.205,32.504,10.000,0.001,0,3.252
9.405,32.523,10.000,0.001,0,3.252
9.605,32.533,10.000,0.001,0,3.252
9.805,32.530,10.000,0.001,0,3.252
10.004,32.537,10.000,0.001,0,3.246
10.204,32.553,10.000,0.001,0,3.246
10.404,32.557,10.000,0.001,0,3.257
10.604,32.567,10.000,0.899,1,3.347
10.804,32.581,10.000,0.899,1,3.352
11.003,32.586,10.000,0.899,1,3.357
11.203,32.581,10.000,0.901,1,3.362
11.403,32.585,10.000,0.905,1,3.362
11.603,32.605,10.000,0.867,1,3.368
11.802,32.620,10.000,0.842,1,3.368
12.002,32.633,10.000,0.899,1,3.373
12.203,32.636,10.000,0.902,1,3.378
12.402,32.644,10.000,0.787,1,3.378
12.602,32.655,10.000,0.794,1,3.378
12.802,32.657,10.000,0.899,1,3.389
13.002,32.670,10.000,0.902,1,3.389
13.202,32.677,10.000,0.845,1,3.394
13.402,32.686,10.000,0.894,1,3.394
13.602,32.697,10.000,0.907,1,3.399
13.801,32.704,10.000,0.884,1,3.399
14.002,32.714,10.000,0.884,1,3.399
14.201,32.728,10.000,0.898,1,3.405
14.401,32.740,10.000,0.878,1,3.410
14.600,32.746,10.000,0.884,1,3.410
14.801,32.746,10.000,0.899,1,3.410
15.001,32.744,10.000,0.878,1,3.415
15.201,32.748,10.000,0.902,1,3.415
15.400,32.760,10.000,0.876,1,3.421
15.599,32.777,10.000,0.885,1,3.426
15.800,32.788,10.000,0.899,1,3.426
16.000,32.788,10.000,0.866,1,3.426
16.200,32.800,10.000,0.888,1,3.431
16.401,32.809,10.000,0.904,1,3.431
16.600,32.817,10.000,0.784,1,3.431
16.800,32.827,10.000,0.884,1,3.436
17.000,32.831,10.000,0.907,1,3.436
17.199,32.839,10.000,0.884,1,3.442
17.399,32.843,10.000,0.899,1,3.442
17.599,32.856,10.000,0.867,1,3.447
17.799,32.871,10.000,0.847,1,3.447
17.999,32.881,10.000,0.884,1,3.447
18.199,32.892,10.000,0.877,1,3.452
18.399,32.908,10.000,0.829,1,3.452
18.598,32.911,10.000,0.881,1,3.452
18.798,32.923,10.000,0.898,1,3.457
18.998,32.935,10.000,0.890,1,3.457
19.199,32.949,10.000,0.881,1,3.457
19.398,32.971,10.000,0.892,1,3.463
19.597,32.990,10.000,0.883,1,3.463
19.797,33.007,10.000,0.880,1,3.468
19.998,33.021,10.000,0.899,1,3.468
20.198,33.027,10.000,0.897,1,3.468
20.397,33.026,10.000,0.871,1,3.468
20.598,33.032,10.000,0.847,1,3.468
20.797,33.050,10.000,0.899,1,3.473
20.997,33.069,10.000,0.881,1,3.473
21.198,33.077,10.000,0.894,1,3.479
21.396,33.095,10.000,0.905,1,3.479
21.596,33.104,10.000,0.878,1,3.479
21.796,33.121,10.000,0.895,1,3.484
21.996,33.141,10.000,0.890,1,3.484
22.197,33.164,10.000,0.873,1,3.484
22.396,33.174,10.000,0.871,1,3.484
22.598,33.192,10.000,0.873,1,3.489
22.807,33.208,10.000,0.880,1,3.489
22.996,33.225,10.000,0.866,1,3.489
23.195,33.247,10.000,0.873,1,3.489
23.396,33.262,10.000,0.881,1,3.494
23.596,33.278,10.000,0.863,1,3.494
23.795,33.276,10.000,0.869,1,3.494
23.995,33.290,10.000,0.854,1,3.500
24.201,33.319,10.000,0.888,1,3.500
24.396,33.335,10.000,0.840,1,3.500
24.595,33.349,10.000,0.895,1,3.505
24.795,33.370,10.000,0.897,1,3.505
24.995,33.383,10.000,0.869,1,3.505
25.195,33.399,10.000,0.871,1,3.505
25.394,33.418,10.000,0.887,1,3.510
25.593,33.435,10.000,0.894,1,3.510
25.794,33.457,10.000,0.839,1,3.510
