t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
0.208,31.264,10.000,0.725,1,3.690
0.407,31.274,10.000,0.787,1,3.690
0.609,31.287,10.000,0.794,1,3.674
0.807,31.303,10.000,0.745,1,3.674
1.007,31.310,10.000,0.750,1,3.674
1.208,31.310,10.000,0.760,1,3.674
1.407,31.314,10.000,0.787,1,3.674
1.607,31.325,10.000,0.763,1,3.679
1.806,31.331,10.000,0.766,1,3.674
2.006,31.334,10.000,0.756,1,3.679
2.206,31.348,10.000,0.764,1,3.679
2.405,31.375,10.000,0.762,1,3.679
2.606,31.383,10.000,0.769,1,3.679
2.806,31.389,10.000,0.780,1,3.679
3.006,31.400,10.000,0.749,1,3.679
3.206,31.422,10.000,0.712,1,3.679
3.405,31.450,10.000,0.762,1,3.684
3.607,31.473,10.000,0.754,1,3.684
3.805,31.489,10.000,0.764,1,3.684
4.005,31.513,10.000,0.763,1,3.684
4.208,31.525,10.000,0.781,1,3.684
4.405,31.541,10.000,0.711,1,3.684
4.605,31.554,10.000,0.783,1,3.690
4.804,31.570,10.000,0.783,1,3.690
5.004,31.589,10.000,0.739,1,3.690
5.204,31.602,10.000,0.785,1,3.690
5.406,31.616,10.000,0.698,1,3.690
5.604,31.640,10.000,0.787,1,3.690
5.803,31.652,10.000,0.771,1,3.690
6.005,31.647,10.000,0.770,1,3.695
6.205,31.664,10.000,0.739,1,3.690
6.404,31.686,10.000,0.747,1,3.695
6.603,31.698,10.000,0.702,1,3.695
6.803,31.713,10.000,0.753,1,3.695
7.004,31.736,10.000,0.753,1,3.695
7.203,31.756,10.000,0.788,1,3.700
7.404,31.776,10.000,0.763,1,3.695
7.603,31.789,10.000,0.781,1,3.700
7.802,31.809,10.000,0.792,1,3.700
8.003,31.824,10.000,0.762,1,3.700
8.202,31.848,10.000,0.759,1,3.700
8.403,31.869,10.000,0.808,1,3.700
8.602,31.885,10.000,0.771,1,3.700
8.802,31.899,10.000,0.787,1,3.706
9.002,31.908,10.000,0.811,1,3.700
9.202,31.917,10.000,0.763,1,3.706
9.402,31.935,10.000,0.747,1,3.706
9.603,31.956,10.000,0.792,1,3.706
9.801,31.964,10.000,0.732,1,3.706
10.002,31.971,10.000,0.739,1,3.706
10.201,32.000,10.000,0.762,1,3.706
10.401,32.028,10.000,0.767,1,3.706
10.601,32.047,10.000,0.735,1,3.711
10.801,32.064,10.000,0.770,1,3.706
11.002,32.080,10.000,0.764,1,3.711
11.200,32.093,10.000,0.777,1,3.711
11.400,32.118,10.000,0.740,1,3.706
11.600,32.135,10.000,0.759,1,3.711
11.800,32.148,10.000,0.776,1,3.711
12.000,32.159,10.000,0.791,1,3.711
12.199,32.181,10.000,0.783,1,3.711
12.400,32.209,10.000,0.769,1,3.716
12.600,32.233,10.000,0.788,1,3.711
12.801,32.232,10.000,0.742,1,3.711
13.000,32.234,10.000,0.762,1,3.716
13.199,32.255,10.000,0.759,1,3.716
13.400,32.280,10.000,0.769,1,3.716
13.600,32.296,10.000,0.753,1,3.716
13.799,32.314,10.000,0.783,1,3.716
13.999,32.341,10.000,0.774,1,3.716
14.200,32.358,10.000,0.738,1,3.721
14.399,32.374,10.000,0.721,1,3.716
14.599,32.391,10.000,0.743,1,3.716
14.798,32.417,10.000,0.750,1,3.721
14.999,32.431,10.000,0.769,1,3.721
15.200,32.442,10.000,0.785,1,3.721
15.399,32.452,10.000,0.728,1,3.721
15.598,32.458,10.000,0.763,1,3.721
15.799,32.472,10.000,0.774,1,3.721
15.997,32.473,10.000,0.752,1,3.721
16.197,32.499,10.000,0.739,1,3.721
16.398,32.521,10.000,0.747,1,3.721
16.598,32.534,10.000,0.774,1,3.727
16.797,32.550,10.000,0.770,1,3.727
16.997,32.569,10.000,0.740,1,3.727
17.197,32.596,10.000,0.759,1,3.727
17.397,32.611,10.000,0.752,1,3.727
17.597,32.626,10.000,0.783,1,3.727
17.796,32.646,10.000,0.767,1,3.732
17.998,32.668,10.000,0.763,1,3.732
18.196,32.689,10.000,0.781,1,3.732
18.396,32.706,10.000,0.754,1,3.732
18.596,32.720,10.000,0.805,1,3.732
18.797,32.731,10.000,0.757,1,3.732
18.996,32.757,10.000,0.776,1,3.732
19.196,32.773,10.000,0.785,1,3.732
19.396,32.793,10.000,0.760,1,3.732
19.595,32.809,10.000,0.783,1,3.737
19.795,32.815,10.000,0.802,1,3.737
19.997,32.817,10.000,0.787,1,3.737
20.195,32.829,10.000,0.788,1,3.737
20.395,32.847,10.000,0.756,1,3.737
20.595,32.865,10.000,0.794,1,3.737
20.794,32.887,10.000,0.770,1,3.737
20.994,32.908,10.000,0.780,1,3.737
21.194,32.920,10.000,0.773,1,3.737
21.395,32.935,10.000,0.719,1,3.737
21.594,32.948,10.000,0.759,1,3.743
21.794,32.970,10.000,0.791,1,3.743
21.995,32.985,10.000,0.776,1,3.743
22.194,32.999,10.000,0.753,1,3.743
22.394,33.008,10.000,0.778,1,3.743
22.594,33.028,10.000,0.763,1,3.743
22.794,33.044,10.000,0.749,1,3.743
22.993,33.065,10.000,0.816,1,3.743
23.194,33.082,10.000,0.757,1,3.748
23.394,33.107,10.000,0.780,1,3.748
23.593,33.131,10.000,0.804,1,3.748
23.792,33.146,10.000,0.764,1,3.748
23.992,33.163,10.000,0.798,1,3.748
24.193,33.185,10.000,0.801,1,3.748
24.393,33.202,10.000,0.776,1,3.748
24.594,33.226,10.000,0.804,1,3.748
24.793,33.240,10.000,0.781,1,3.748
24.993,33.247,10.000,0.801,1,3.753
25.193,33.251,10.000,0.781,1,3.748
25.392,33.268,10.000,0.762,1,3.753
25.592,33.279,10.000,0.791,1,3.753
25.792,33.303,10.000,0.784,1,3.753
25.993,33.315,10.000,0.783,1,3.753
26.192,33.323,10.000,0.792,1,3.753
26.391,33.328,10.000,0.746,1,3.753
26.591,33.346,10.000,0.759,1,3.753
26.791,33.353,10.000,0.794,1,3.753
26.992,33.358,10.000,0.790,1,3.753
27.192,33.371,10.000,0.774,1,3.753
27.392,33.390,10.000,0.787,1,3.753
27.591,33.409,10.000,0.794,1,3.758
27.791,33.428,10.000,0.812,1,3.753
27.992,33.443,10.000,0.715,1,3.753
28.191,33.457,10.000,0.801,1,3.758
28.390,33.461,10.000,0.819,1,3.758
28.590,33.475,10.000,0.762,1,3.758
28.790,33.490,10.000,0.800,1,3.758
28.991,33.490,10.000,0.780,1,3.758
