time_s,x_mm,y_mm,temperature_c
10,0.00,0.00,25.00
10,0.00,5.00,25.00
10,0.00,10.00,25.00
10,0.00,15.00,25.00
10,0.00,20.00,25.00
10,0.00,25.00,25.00
10,0.00,30.00,25.00
10,5.00,0.00,52.51
10,5.00,5.00,29.48
10,5.00,10.00,40.76
10,5.00,15.00,39.00
10,5.00,20.00,27.00
10,5.00,25.00,24.00
10,5.00,30.00,24.00
10,10.00,0.00,25.00
10,10.00,5.00,45.00
10,10.00,10.00,48.00
10,10.00,15.00,49.00
10,10.00,20.00,52.00
10,10.00,25.00,35.00
10,10.00,30.00,25.00
10,15.00,0.00,25.00
10,15.00,5.00,27.00
10,15.00,10.00,35.00
10,15.00,15.00,35.00
10,15.00,20.00,56.00
10,15.00,25.00,28.00
10,15.00,30.00,25.00
10,20.00,0.00,25.00
10,20.00,5.00,28.00
10,20.00,10.00,71.00
10,20.00,15.00,25.00
10,20.00,20.00,62.00
10,20.00,25.00,32.00
10,20.00,30.00,25.00
10,25.00,0.00,25.00
10,25.00,5.00,55.00
10,25.00,10.00,41.65
10,25.00,15.00,25.00
10,25.00,20.00,49.00
10,25.00,25.00,27.00
10,25.00,30.00,25.00
10,30.00,0.00,25.00
10,30.00,5.00,28.00
10,30.00,10.00,54.00
10,30.00,15.00,68.00
10,30.00,20.00,54.00
10,30.00,25.00,35.00
10,30.00,30.00,25.00
10,35.00,0.00,25.00
10,35.00,5.00,25.00
10,35.00,10.00,55.00
10,35.00,15.00,60.00
10,35.00,20.00,48.00
10,35.00,25.00,33.00
10,35.00,30.00,25.00
600,0.00,0.00,25.00
600,0.00,5.00,25.00
600,0.00,10.00,25.00
600,0.00,15.00,25.00
600,0.00,20.00,25.00
600,0.00,25.00,25.00
600,0.00,30.00,25.00
600,5.00,0.00,25.00
600,5.00,5.00,67.00
600,5.00,10.00,63.00
600,5.00,15.00,57.00
600,5.00,20.00,35.00
600,5.00,25.00,27.00
600,5.00,30.00,25.00
600,10.00,0.00,25.00
600,10.00,5.00,34.00
600,10.00,10.00,77.00
600,10.00,15.00,68.00
600,10.00,20.00,45.00
600,10.00,25.00,32.00
600,10.00,30.00,25.00
600,15.00,0.00,25.00
600,15.00,5.00,29.00
600,15.00,10.00,45.00
600,15.00,15.00,48.00
600,15.00,20.00,87.00
600,15.00,25.00,35.00
600,15.00,30.00,25.00
600,20.00,0.00,25.00
600,20.00,5.00,35.00
600,20.00,10.00,98.00
600,20.00,15.00,25.00
600,20.00,20.00,86.00
600,20.00,25.00,32.00
600,20.00,30.00,25.00
600,25.00,0.00,25.00
600,25.00,5.00,55.00
600,25.00,10.00,43.00
600,25.00,15.00,25.00
600,25.00,20.00,73.00
600,25.00,25.00,51.00
600,25.00,30.00,25.00
600,30.00,0.00,25.00
600,30.00,5.00,58.00
600,30.00,10.00,56.00
600,30.00,15.00,99.00
600,30.00,20.00,83.00
600,30.00,25.00,53.00
600,30.00,30.00,25.00
600,35.00,0.00,25.00
600,35.00,5.00,25.00
600,35.00,10.00,55.00
600,35.00,15.00,97.00
600,35.00,20.00,48.00
600,35.00,25.00,33.00
600,35.00,30.00,25.00
